Channel,Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters
A-1,0.9285714285714286,0.0,0.0,0.0,0.6831673457217569,0.002933979034423828,0.09719300270080566,0
A-2,0.9232147427693883,0.0,0.0,0.0,0.17840441160279216,0.006508350372314453,0.09922671318054199,0
A-3,0.9148673658235656,0.0,0.0,0.0,0.31939649661168645,0.0027625560760498047,0.09923982620239258,0
A-4,0.9238095238095239,0.0,0.0,0.0,0.28444486586431333,0.0027544498443603516,0.0944821834564209,0
A-5,0.9353363814500326,0.1782608695652174,0.2751677852348993,0.21635883905013192,0.6826941083370082,0.0009338855743408203,0.05373120307922363,0
A-6,0.9699058120836205,0.518348623853211,0.8129496402877698,0.6330532212885154,0.9246985894910081,0.0006909370422363281,0.061756134033203125,0
A-7,0.6651037393037159,0.0,0.0,0.0,0.06775897899757377,0.0029714107513427734,0.09687304496765137,0
A-8,0.4901510574018127,0.0,0.0,0.0,0.7237652094412451,0.0009737014770507812,0.09950828552246094,0
A-9,0.486321094312455,0.0,0.0,0.0,0.7371364653243848,0.0007908344268798828,0.10007786750793457,0
B-1,0.9286253776435045,0.0,0.0,0.0,0.6009235335527693,0.002504110336303711,0.09521746635437012,0
C-1,0.7453789279112755,0.09174311926605505,0.021645021645021644,0.03502626970227671,0.7041092475875085,0.005105257034301758,0.05323076248168945,0
C-2,0.7985648385443362,0.19387755102040816,0.057057057057057055,0.08816705336426914,0.7832882326083809,0.0027959346771240234,0.0537109375,0
D-1,0.6626233797122131,1.0,0.12922038060159607,0.22886653982060343,0.9718155056757978,0.003032684326171875,0.09991765022277832,0
D-11,0.928249897694721,0.0,0.0,0.0,0.3667073560000982,0.0026586055755615234,0.0824885368347168,0
D-12,0.6955743156817601,1.0,0.13106973347937204,0.2317624273724984,0.9373255609921114,0.0003230571746826172,0.12093448638916016,0
D-13,0.9657543302922121,0.0,0.0,0.0,0.6344907534666572,0.0017821788787841797,0.0901799201965332,0
D-14,0.8522772277227723,0.6771653543307087,0.20574162679425836,0.3155963302752294,0.6833646332684626,0.010889053344726562,0.06761527061462402,0
D-15,0.6336248785228377,0.02912621359223301,0.0045662100456621,0.007894736842105263,0.6920627470919336,0.006599903106689453,0.0532689094543457,0
D-16,0.6642754662840746,0.7238095238095238,0.10146862483311081,0.17798594847775176,0.6001424651646806,0.0034368038177490234,0.05278134346008301,0
D-2,0.47004120070629785,0.23294117647058823,0.023157894736842106,0.04212765957446808,0.6245181951719742,0.002916574478149414,0.10641598701477051,0
D-3,0.6455503512880562,0.9063231850117096,0.11470065204505038,0.20363062352012629,0.9735785553299686,0.0029556751251220703,0.10202622413635254,0
D-4,0.6622477009435089,1.0,0.1290421927933477,0.22858701582105836,0.9932323855833309,0.0028924942016601562,0.12398958206176758,0
D-5,0.9386291179596175,0.08488063660477453,0.21476510067114093,0.12167300380228137,0.22352022017861314,0.002884387969970703,0.08975005149841309,0
D-6,0.9269013360739979,0.0,0.0,0.0,0.6018864390157901,0.0026597976684570312,0.09436464309692383,0
D-7,0.616945107398568,0.25132275132275134,0.03517215845982969,0.06170834686586554,0.581469325055078,0.0027093887329101562,0.09234237670898438,0
D-8,0.9354257782351428,0.02680965147453083,0.06711409395973154,0.038314176245210725,0.7957918362856199,0.002628326416015625,0.09534406661987305,0
D-9,0.7924993156309882,0.0,0.0,0.0,0.8500687953459861,0.002633810043334961,0.0957021713256836,0
E-1,0.8671577946768061,0.0,0.0,0.0,0.3070027377640513,0.003537416458129883,0.11040091514587402,0
E-10,0.8882807852468768,0.0,0.0,0.0,0.47784499981152695,0.002988576889038086,0.09989690780639648,0
E-11,0.8916092227240314,0.0,0.0,0.0,0.4843438358970879,0.004921674728393555,0.09887027740478516,0
E-12,0.8573466476462197,0.0,0.0,0.0,0.23829313868721166,0.0031795501708984375,0.11475157737731934,0
E-13,0.8874707259953162,0.02810304449648712,0.021505376344086023,0.024365482233502538,0.42650174361848214,0.0036416053771972656,0.10194706916809082,0
E-2,0.7725332068311196,0.0,0.0,0.0,0.2330146827526229,0.0030028820037841797,0.12284064292907715,0
E-3,0.580967466796637,0.22384428223844283,0.028642590286425903,0.05078664090532708,0.13250772565841057,0.0029196739196777344,0.10164380073547363,0
E-4,0.6224860673612794,0.24213075060532688,0.03444712366517396,0.06031363088057901,0.08320058648304138,0.0031549930572509766,0.0970773696899414,0
E-5,0.9198193800341713,0.2097560975609756,0.2052505966587112,0.2074788902291918,0.37646762694825375,0.0029752254486083984,0.09246373176574707,0
E-6,0.9570731707317073,0.2707317073170732,0.676829268292683,0.3867595818815331,0.7172491319549831,0.00805044174194336,0.11691451072692871,0
E-7,0.9712545676004872,0.6739659367396593,0.7308707124010554,0.7012658227848101,0.8657763324100246,0.0028481483459472656,0.09852766990661621,0
E-8,0.864444971537002,0.0,0.0,0.0,0.5117238895890752,0.0029850006103515625,0.10116267204284668,0
E-9,0.917093391855645,0.21897810218978103,0.20044543429844097,0.20930232558139536,0.4914990877875566,0.004352569580078125,0.09995412826538086,0
