Channel,Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters
A-1,0.9285714285714286,0.0,0.0,0.0,0.6889528820118078,0.22125482559204102,0.3678247928619385,32396
A-2,0.9232147427693883,0.0,0.0,0.0,0.18416208173293191,0.054320573806762695,0.13039708137512207,32396
A-3,0.9148673658235656,0.0,0.0,0.0,0.3084675422436164,0.06437993049621582,0.1277463436126709,32396
A-4,0.9238095238095239,0.0,0.0,0.0,0.2816658549545328,0.06825852394104004,0.12251067161560059,32396
A-5,0.935554104071413,0.17903930131004367,0.2751677852348993,0.21693121693121692,0.6828473954778028,0.041323184967041016,0.019000530242919922,32396
A-6,0.9703652653342523,0.5229357798165137,0.8201438848920863,0.6386554621848739,0.9270289511153299,0.039608001708984375,0.016810894012451172,32396
A-7,0.6651037393037159,0.0,0.0,0.0,0.0810025071785439,0.06150698661804199,0.14083147048950195,32396
A-8,0.4901510574018127,0.0,0.0,0.0,0.7197013819682685,0.03268933296203613,0.03445553779602051,32396
A-9,0.486321094312455,0.0,0.0,0.0,0.7371364653243848,0.03620481491088867,0.030773401260375977,32396
B-1,0.9286253776435045,0.0,0.0,0.0,0.6009235335527693,0.04306674003601074,0.1269397735595703,32396
C-1,0.7453789279112755,0.09174311926605505,0.021645021645021644,0.03502626970227671,0.7063029997812607,0.0576777458190918,0.13938641548156738,57596
C-2,0.796514607893388,0.17346938775510204,0.05105105105105105,0.07888631090487239,0.7832214167195626,0.036006927490234375,0.039491891860961914,57596
D-1,0.6626233797122131,1.0,0.12922038060159607,0.22886653982060343,0.9714311643492375,0.04501771926879883,0.151564359664917,32396
D-11,0.928249897694721,0.0,0.0,0.0,0.37535208550372345,0.04744553565979004,0.1348412036895752,32396
D-12,0.6955743156817601,1.0,0.13106973347937204,0.2317624273724984,0.9399520435821577,0.03374981880187988,0.017084121704101562,32396
D-13,0.9657543302922121,0.0,0.0,0.0,0.6388121809808558,0.03565621376037598,0.07632017135620117,32396
D-14,0.8522772277227723,0.6771653543307087,0.20574162679425836,0.3155963302752294,0.6835235930357455,0.05305194854736328,0.27932143211364746,57596
D-15,0.6336248785228377,0.02912621359223301,0.0045662100456621,0.007894736842105263,0.6915010695773947,0.04245805740356445,0.1424729824066162,57596
D-16,0.6642754662840746,0.7238095238095238,0.10146862483311081,0.17798594847775176,0.6013552098277087,0.03519487380981445,0.0959312915802002,57596
D-2,0.47004120070629785,0.23294117647058823,0.023157894736842106,0.04212765957446808,0.6224437792744103,0.05711483955383301,0.14448022842407227,32396
D-3,0.6455503512880562,0.9063231850117096,0.11470065204505038,0.20363062352012629,0.9733630084628393,0.04635882377624512,0.153151273727417,32396
D-4,0.6622477009435089,1.0,0.1290421927933477,0.22858701582105836,0.9927538983432109,0.053150177001953125,0.1440436840057373,32396
D-5,0.9386291179596175,0.08488063660477453,0.21476510067114093,0.12167300380228137,0.22352112970692267,0.045645952224731445,0.13213491439819336,32396
D-6,0.9269013360739979,0.0,0.0,0.0,0.6013354930415523,0.04492354393005371,0.13479375839233398,32396
D-7,0.6172102890479979,0.25396825396825395,0.03554239170677527,0.06235790841182202,0.5930768753659982,0.04075741767883301,0.13850951194763184,32396
D-8,0.9368407512220222,0.0546875,0.14093959731543623,0.07879924953095685,0.7957918362856199,0.04158449172973633,0.13788199424743652,32396
D-9,0.7924993156309882,0.0,0.0,0.0,0.8500732995937028,0.041504621505737305,0.13745355606079102,32396
E-1,0.8675142585551331,0.0,0.0,0.0,0.3197140745827046,0.045888662338256836,0.15310931205749512,32396
E-10,0.8882807852468768,0.0,0.0,0.0,0.47749522331112293,0.04547476768493652,0.15448403358459473,32396
E-11,0.8916092227240314,0.0,0.0,0.0,0.48442943576321273,0.04532122611999512,0.15392231941223145,32396
E-12,0.8573466476462197,0.0,0.0,0.0,0.23828170263333642,0.04739546775817871,0.15137672424316406,32396
E-13,0.8874707259953162,0.02810304449648712,0.021505376344086023,0.024365482233502538,0.4272134704518859,0.041974544525146484,0.1575157642364502,32396
E-2,0.7725332068311196,0.0,0.0,0.0,0.21080975642852298,0.043982505798339844,0.1548452377319336,32396
E-3,0.580967466796637,0.22384428223844283,0.028642590286425903,0.05078664090532708,0.12967615810081562,0.04667234420776367,0.15235304832458496,32396
E-4,0.6224860673612794,0.24213075060532688,0.03444712366517396,0.06031363088057901,0.08318883802468051,0.04529166221618652,0.1548144817352295,32396
E-5,0.9198193800341713,0.2097560975609756,0.2052505966587112,0.2074788902291918,0.3748605238318151,0.04518914222717285,0.15523457527160645,32396
E-6,0.9570731707317073,0.2707317073170732,0.676829268292683,0.3867595818815331,0.7173902651482961,0.03995084762573242,0.15928983688354492,32396
E-7,0.9712545676004872,0.6739659367396593,0.7308707124010554,0.7012658227848101,0.8653787514542872,0.046560049057006836,0.14591097831726074,32396
E-8,0.864444971537002,0.0,0.0,0.0,0.49965995944694885,0.0443570613861084,0.1556406021118164,32396
E-9,0.9168495488905145,0.21654501216545013,0.19821826280623608,0.2069767441860465,0.4914654776928078,0.044248104095458984,0.1549060344696045,32396
F-1,0.9264497878359265,0.0,0.0,0.0,0.4005683213896883,0.042273759841918945,0.15667939186096191,32396
F-2,0.6100164203612479,0.06791569086651054,0.009810554803788904,0.017144546260715342,0.7962339021386073,0.046000003814697266,0.1532282829284668,32396
F-3,0.9573465442242629,0.24154589371980675,0.7194244604316546,0.3616636528028933,0.8988031401104997,0.0432124137878418,0.15648937225341797,32396
F-4,0.9446116797110174,0.4550898203592814,0.44970414201183434,0.4523809523809524,0.8129310490431767,0.04550933837890625,0.16071105003356934,57596
F-5,0.93432757718472,0.4947916666666667,0.3815261044176707,0.4308390022675737,0.8415009042607597,0.0441434383392334,0.19472956657409668,57596
F-7,0.8161081953976584,0.10887096774193548,0.03765690376569038,0.05595854922279793,0.3221928491416356,0.04253506660461426,0.19612693786621094,57596
F-8,0.7846669459572685,0.5916666666666667,0.13246268656716417,0.21646341463414634,0.7227174500270124,0.05428743362426758,0.24709510803222656,57596
G-1,0.9237662803202294,0.0,0.0,0.0,0.1430271451382469,0.05312776565551758,0.14555573463439941,32396
G-2,0.9308635174218427,0.0,0.0,0.0,0.6382543501845532,0.043587446212768555,0.12876319885253906,32396
G-3,0.9308313052388881,0.0,0.0,0.0,0.6353469022174468,0.045446157455444336,0.1392683982849121,32396
G-4,0.9596388741370154,0.26790450928381965,0.7829457364341085,0.39920948616600793,0.8717945898739983,0.0467836856842041,0.13216090202331543,32396
G-6,0.9266978922716628,0.0,0.0,0.0,0.8917588783143628,0.0466303825378418,0.15302467346191406,32396
G-7,0.9791903140370791,1.0,0.7064056939501779,0.8279457768508863,0.8833270857295228,0.05284428596496582,0.1201632022857666,32396
M-1,0.45016077170418006,0.3577981651376147,0.03344768439108062,0.0611764705882353,0.48802537439791793,0.04293966293334961,0.15741848945617676,57596
M-2,0.5135507579237483,0.9908256880733946,0.09262435677530018,0.16941176470588235,0.8186144520056395,0.040598154067993164,0.15813970565795898,57596
M-3,0.8238776517020227,0.46078431372549017,0.1346704871060172,0.20842572062084258,0.5990673164601057,0.03940105438232422,0.14598703384399414,57596
M-4,0.7801857585139319,0.10309278350515463,0.02865329512893983,0.04484304932735426,0.4463909290411695,0.04148101806640625,0.1473686695098877,57596
M-5,0.7684975034044484,0.0,0.0,0.0,0.6982922939277239,0.039406776428222656,0.1463167667388916,57596
M-6,0.9486916367367881,1.0,0.494949494949495,0.6621621621621622,0.9872771114918459,0.036812543869018555,0.10641646385192871,57596
M-7,0.953307392996109,1.0,0.5175879396984925,0.6821192052980133,0.8635787986783675,0.03659176826477051,0.10723352432250977,57596
P-1,0.8417608566329565,0.16152019002375298,0.06507177033492823,0.0927694406548431,0.37012000728104844,0.04562115669250488,0.1548008918762207,32396
P-10,0.9258333333333333,0.14,0.18340611353711792,0.15879017013232513,0.8206307853073529,0.05393719673156738,0.3525261878967285,57596
P-11,0.8387190684133916,0.12209302325581395,0.049528301886792456,0.07046979865771812,0.6837022113884311,0.055413007736206055,0.30791783332824707,57596
P-14,0.9248333333333333,0.21333333333333335,0.22939068100358423,0.22107081174438686,0.7655196004909286,0.058646202087402344,0.21545100212097168,57596
P-15,0.9067489114658926,0.0,0.0,0.0,0.5084495686784384,0.05186796188354492,0.2839469909667969,57596
P-2,0.8867924528301887,1.0,0.3066465256797583,0.46936416184971097,0.9076560054500887,0.04428863525390625,0.15170073509216309,32396
P-3,0.7791016323126415,0.0,0.0,0.0,0.30899271946084683,0.04569673538208008,0.15558576583862305,32396
P-4,0.853963295587661,0.0,0.0,0.0,0.7054395392094315,0.04337501525878906,0.13932299613952637,32396
P-7,0.7305231464057207,0.0,0.0,0.0,0.8222376785448782,0.04370760917663574,0.15493392944335938,32396
R-1,0.9248320268756999,0.0,0.0,0.0,0.7317753973378465,0.04436683654785156,0.15308213233947754,32396
S-1,0.8752593002350989,0.008287292817679558,0.005494505494505495,0.006607929515418502,0.3193933715250095,0.04753279685974121,0.1470963954925537,32396
S-2,0.8865083960625362,0.0,0.0,0.0,0.5844456288769689,0.03425335884094238,0.05063652992248535,57596
T-1,0.7464755639097744,0.0,0.0,0.0,0.8168184597409852,0.046320438385009766,0.1540234088897705,32396
T-12,0.9047210300429185,0.48717948717948717,0.2602739726027397,0.3392857142857143,0.8044208527197177,0.03419184684753418,0.07188081741333008,57596
