Channel,Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters
A-1,0.9285714285714286,0.0,0.0,0.0,0.6861797740319133,1.6511871814727783,0.05445384979248047,1127724
A-2,0.9232147427693883,0.0,0.0,0.0,0.18208619989996508,0.0802304744720459,0.019664287567138672,1127724
A-3,0.9148673658235656,0.0,0.0,0.0,0.32370347259364907,0.0702519416809082,0.031778812408447266,1127724
A-4,0.9238095238095239,0.0,0.0,0.0,0.28835586116705525,0.0816793441772461,0.02312183380126953,1127724
A-5,0.9370781624210756,0.1956521739130435,0.30201342281879195,0.23746701846965698,0.6937700481457542,0.07427740097045898,0.00471043586730957,1127724
A-6,0.9694463588329888,0.5137614678899083,0.8057553956834532,0.6274509803921569,0.9191774250272302,0.07401323318481445,0.003931283950805664,1127724
A-7,0.6651037393037159,0.0,0.0,0.0,0.0739020723176326,0.07056427001953125,0.03674936294555664,1127724
A-8,0.4901510574018127,0.0,0.0,0.0,0.7276278416189695,0.07895588874816895,0.0072040557861328125,1127724
A-9,0.486321094312455,0.0,0.0,0.0,0.7371364653243848,0.06712031364440918,0.007609128952026367,1127724
B-1,0.9286253776435045,0.0,0.0,0.0,0.6009235335527693,0.07895493507385254,0.016702651977539062,1127724
C-1,0.7453789279112755,0.09174311926605505,0.021645021645021644,0.03502626970227671,0.7093004919091875,0.07961201667785645,0.07515954971313477,2480724
C-2,0.8026652998462327,0.23469387755102042,0.06906906906906907,0.10672853828306264,0.8043129656232252,0.0715479850769043,0.0061609745025634766,2480724
D-1,0.6626233797122131,1.0,0.12922038060159607,0.22886653982060343,0.972273020823911,0.07283210754394531,0.03200411796569824,1127724
D-11,0.928249897694721,0.0,0.0,0.0,0.4068135341141476,0.07384610176086426,0.02600717544555664,1127724
D-12,0.6954464057303659,1.0,0.13070463672873311,0.23119147562156925,0.9366364130203896,0.08535003662109375,0.009120941162109375,1127724
D-13,0.9657543302922121,0.0,0.0,0.0,0.6359682323537746,0.07646298408508301,0.007233142852783203,1127724
D-14,0.853069306930693,0.6850393700787402,0.20813397129186603,0.3192660550458716,0.6835985312117503,0.08538699150085449,0.15787005424499512,2480724
D-15,0.6336248785228377,0.02912621359223301,0.0045662100456621,0.007894736842105263,0.6927526217954777,0.07597994804382324,0.06877613067626953,2480724
D-16,0.6642754662840746,0.7238095238095238,0.10146862483311081,0.17798594847775176,0.6098543711535898,0.07117223739624023,0.04041028022766113,2480724
D-2,0.47004120070629785,0.23294117647058823,0.023157894736842106,0.04212765957446808,0.6417878107591253,0.07667064666748047,0.029019832611083984,1127724
D-3,0.6455503512880562,0.9063231850117096,0.11470065204505038,0.20363062352012629,0.9721700136384884,0.07196640968322754,0.034689903259277344,1127724
D-4,0.6622477009435089,1.0,0.1290421927933477,0.22858701582105836,0.9923564006560395,0.0720210075378418,0.03250765800476074,1127724
D-5,0.9387619553666312,0.0851063829787234,0.21476510067114093,0.1219047619047619,0.22349202480101796,0.08657455444335938,0.015651464462280273,1127724
D-6,0.9269013360739979,0.0,0.0,0.0,0.5967428074003063,0.07792139053344727,0.02106022834777832,1127724
D-7,0.6164147440997083,0.24603174603174602,0.03443169196593854,0.06040922377395258,0.5861361300461678,0.07130026817321777,0.02750873565673828,1127724
D-8,0.9374839207615128,0.06683804627249357,0.174496644295302,0.09665427509293681,0.7957918362856199,0.07184910774230957,0.026592731475830078,1127724
D-9,0.7924993156309882,0.0,0.0,0.0,0.8500723142895148,0.07543087005615234,0.021908044815063477,1127724
E-1,0.8663260456273765,0.0,0.0,0.0,0.32172632379290833,0.07891726493835449,0.029802799224853516,1127724
E-10,0.8882807852468768,0.0,0.0,0.0,0.48322223217620697,0.07171392440795898,0.033719539642333984,1127724
E-11,0.8916092227240314,0.0,0.0,0.0,0.4913925864346576,0.07546234130859375,0.030188798904418945,1127724
E-12,0.8573466476462197,0.0,0.0,0.0,0.2402436585819932,0.07441926002502441,0.032796621322631836,1127724
E-13,0.8874707259953162,0.02810304449648712,0.021505376344086023,0.024365482233502538,0.42809998572055946,0.0786738395690918,0.027692556381225586,1127724
E-2,0.7725332068311196,0.0,0.0,0.0,0.23008780816510307,0.07393980026245117,0.03257298469543457,1127724
E-3,0.5812111612038504,0.22627737226277372,0.02895392278953923,0.05133866961081976,0.13062795049096418,0.07843303680419922,0.026814699172973633,1127724
E-4,0.6224860673612794,0.24213075060532688,0.03444712366517396,0.06031363088057901,0.08309340191772178,0.07058405876159668,0.03503727912902832,1127724
E-5,0.9198193800341713,0.2097560975609756,0.2052505966587112,0.2074788902291918,0.3758320607172183,0.07479143142700195,0.03129220008850098,1127724
E-6,0.9570731707317073,0.2707317073170732,0.676829268292683,0.3867595818815331,0.7173963353931698,0.06953859329223633,0.03622937202453613,1127724
E-7,0.9714981729598051,0.6763990267639902,0.7335092348284961,0.7037974683544304,0.866230855045016,0.07464361190795898,0.028436899185180664,1127724
E-8,0.864444971537002,0.0,0.0,0.0,0.525096899416526,0.06642723083496094,0.040763139724731445,1127724
E-9,0.917093391855645,0.21897810218978103,0.20044543429844097,0.20930232558139536,0.491183669975298,0.0808250904083252,0.02905726432800293,1127724
F-1,0.9264497878359265,0.0,0.0,0.0,0.40145658891924924,0.0721125602722168,0.03563117980957031,1127724
F-2,0.6100164203612479,0.06791569086651054,0.009810554803788904,0.017144546260715342,0.797823341990122,0.07479500770568848,0.0317385196685791,1127724
F-3,0.9573465442242629,0.24154589371980675,0.7194244604316546,0.3616636528028933,0.9001028254451864,0.07360124588012695,0.03195786476135254,1127724
F-4,0.9446116797110174,0.4550898203592814,0.44970414201183434,0.4523809523809524,0.815768583315974,0.06892704963684082,0.0900888442993164,2480724
F-5,0.935374149659864,0.5052083333333334,0.3895582329317269,0.4399092970521542,0.84353647447332,0.07154011726379395,0.11223745346069336,2480724
F-7,0.8165119095680259,0.11290322580645161,0.03905160390516039,0.058031088082901555,0.3242353590225446,0.07467842102050781,0.10372591018676758,2480724
F-8,0.7846669459572685,0.5916666666666667,0.13246268656716417,0.21646341463414634,0.7235580605884677,0.08797955513000488,0.1364588737487793,2480724
G-1,0.9237662803202294,0.0,0.0,0.0,0.13831918648625935,0.07432103157043457,0.029950380325317383,1127724
G-2,0.9308635174218427,0.0,0.0,0.0,0.6275801599663824,0.07132315635681152,0.02398085594177246,1127724
G-3,0.9308313052388881,0.0,0.0,0.0,0.6371141465432474,0.0771932601928711,0.02255868911743164,1127724
G-4,0.9596388741370154,0.26790450928381965,0.7829457364341085,0.39920948616600793,0.8816936775055577,0.07635092735290527,0.023210525512695312,1127724
G-6,0.9266978922716628,0.0,0.0,0.0,0.9272251438224572,0.07561707496643066,0.030924081802368164,1127724
G-7,0.9791903140370791,1.0,0.7064056939501779,0.8279457768508863,0.8834258719392578,0.07529377937316895,0.020638227462768555,1127724
M-1,0.45016077170418006,0.3577981651376147,0.03344768439108062,0.0611764705882353,0.48259878896461395,0.06953787803649902,0.08560013771057129,2480724
M-2,0.5144694533762058,1.0,0.09348198970840481,0.17098039215686275,0.8249724726125824,0.0752573013305664,0.08108210563659668,2480724
M-3,0.8238776517020227,0.46078431372549017,0.1346704871060172,0.20842572062084258,0.5943048587655518,0.07481765747070312,0.0703897476196289,2480724
M-4,0.7801857585139319,0.10309278350515463,0.02865329512893983,0.04484304932735426,0.45810469903220746,0.07462048530578613,0.07124996185302734,2480724
