Channel,Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters
A-1,0.6015222482435597,0.028688524590163935,0.5355191256830601,0.054459572103362046,0.6831673457217569,0.0032525062561035156,0.10187602043151855,0
A-2,0.5732019452265165,0.0,0.0,0.0,0.17840441160279216,0.0027511119842529297,0.09506869316101074,0
A-3,0.5696483652066625,0.005860579888957434,0.06690140845070422,0.010777084515031198,0.31939649661168645,0.0028488636016845703,0.09525728225708008,0
A-4,0.5738095238095238,0.0,0.0,0.0,0.28444486586431333,0.0027627944946289062,0.09856104850769043,0
A-5,0.586762464620074,0.023952095808383235,0.2953020134228188,0.044310171198388724,0.6826941083370082,0.0007340908050537109,0.0641012191772461,0
A-6,0.8012864691017689,0.11949685534591195,0.8201438848920863,0.20860018298261665,0.9246985894910081,0.0007646083831787109,0.05115962028503418,0
A-7,0.3522447544250381,0.04630715123094959,0.06502057613168724,0.05409106470386854,0.06775897899757377,0.002911090850830078,0.10088372230529785,0
A-8,0.6571601208459215,0.6462235649546828,0.5621550591327201,0.6012649332396346,0.7237652094412451,0.0015702247619628906,0.1095736026763916,0
A-9,0.6544276457883369,0.6475704859028194,0.5587474120082816,0.5998888580161156,0.7371364653243848,0.0008158683776855469,0.10129880905151367,0
B-1,0.9150302114803626,0.0,0.0,0.0,0.6009235335527693,0.0024869441986083984,0.09646129608154297,0
C-1,0.6617375231053605,0.3441108545034642,0.645021645021645,0.44879518072289154,0.7041092475875085,0.00518035888671875,0.05629682540893555,0
C-2,0.7206560738083034,0.3641025641025641,0.8528528528528528,0.5103324348607368,0.7832882326083809,0.0016984939575195312,0.04751110076904297,0
D-1,0.9207991437745273,0.8852556480380499,0.9140577041129527,0.8994261552401087,0.9718155056757978,0.002911090850830078,0.10739970207214355,0
D-11,0.5793206929477561,0.0,0.0,0.0,0.3667073560000982,0.0026636123657226562,0.088287353515625,0
D-12,0.9206958301355845,0.8490939044481054,0.940854326396495,0.8926220990647731,0.9373255609921114,0.0003204345703125,0.09280943870544434,0
D-13,0.6124553748512495,0.05614617940199335,0.6525096525096525,0.10339553380238604,0.6344907534666572,0.0016276836395263672,0.08710646629333496,0
D-14,0.6213861386138614,0.23366336633663368,0.5645933014354066,0.33053221288515405,0.6833646332684626,0.010085582733154297,0.06908512115478516,0
D-15,0.641399416909621,0.4507897934386391,0.5646879756468798,0.5013513513513513,0.6920627470919336,0.005634307861328125,0.05315828323364258,0
D-16,0.6111908177905309,0.46172248803827753,0.5153538050734312,0.48706624605678234,0.6001424651646806,0.003578662872314453,0.06026172637939453,0
D-2,0.5984696880517951,0.6271336080047086,0.4984795321637427,0.5554541900169425,0.6245181951719742,0.003420591354370117,0.10241484642028809,0
D-3,0.9620608899297424,0.9464285714285714,0.9582098399525786,0.9522827687776141,0.9735785553299686,0.004794120788574219,0.1169428825378418,0
D-4,0.9718141645766153,0.9495371752762019,0.9793655682168155,0.9642207398423287,0.9932323855833309,0.0030095577239990234,0.10314559936523438,0
D-5,0.5887353878852285,0.010627698439056792,0.21476510067114093,0.020253164556962026,0.22352022017861314,0.0029518604278564453,0.10016584396362305,0
D-6,0.6039311408016445,0.03371868978805395,0.5865921787709497,0.06377163680534467,0.6018864390157901,0.0026748180389404297,0.09741687774658203,0
D-7,0.5518430124635375,0.3874709976798144,0.43280266567937803,0.40888422525358514,0.581469325055078,0.002685070037841797,0.09012818336486816,0
D-8,0.9470028299459737,0.2159827213822894,0.6711409395973155,0.32679738562091504,0.7957918362856199,0.0029230117797851562,0.09486246109008789,0
D-9,0.9178757185874623,0.7119938884644768,0.8069264069264069,0.7564935064935064,0.8500687953459861,0.00351715087890625,0.08864831924438477,0
E-1,0.5563212927756654,0.049910873440285206,0.23863636363636365,0.08255528255528255,0.3070027377640513,0.003355741500854492,0.11306118965148926,0
E-10,0.5921475312314098,0.06722189173111243,0.4362934362934363,0.11649484536082474,0.47784499981152695,0.0032160282135009766,0.10584211349487305,0
E-11,0.5900879486570002,0.06060606060606061,0.4154786150712831,0.10578169561835624,0.4843438358970879,0.003958225250244141,0.12146162986755371,0
E-12,0.5492154065620543,0.052303120356612186,0.22593068035943517,0.08494208494208494,0.23829313868721166,0.002992391586303711,0.10036015510559082,0
E-13,0.5763466042154567,0.052107728337236536,0.31899641577060933,0.08958228485153498,0.42650174361848214,0.0031359195709228516,0.12449026107788086,0
E-2,0.4498339658444023,0.03409427809072043,0.0768716577540107,0.04723762579585131,0.2330146827526229,0.003044605255126953,0.09579992294311523,0
E-3,0.32021445107834773,0.139506548888212,0.14259028642590285,0.14103156274056966,0.13250772565841057,0.003178834915161133,0.09934735298156738,0
E-4,0.31560455536709475,0.08419139915202907,0.0957630037891836,0.08960515713134569,0.08320058648304138,0.0036096572875976562,0.09855389595031738,0
E-5,0.5800585794483769,0.039048200122025624,0.3054892601431981,0.0692453340546389,0.37646762694825375,0.0029370784759521484,0.09389185905456543,0
E-6,0.6090243902439024,0.036280487804878046,0.725609756097561,0.06910569105691057,0.7172491319549831,0.00341033935546875,0.1040196418762207,0
E-7,0.6352009744214373,0.10170523751522534,0.8812664907651715,0.18236418236418236,0.8657763324100246,0.0028476715087890625,0.09471344947814941,0
E-8,0.584203036053131,0.08716276311888527,0.4077669902912621,0.1436248168050806,0.5117238895890752,0.0038068294525146484,0.10020136833190918,0
E-9,0.5886369178249208,0.054251752514477294,0.39643652561247217,0.09544235924932976,0.4914990877875566,0.0030541419982910156,0.10070514678955078,0
F-1,0.5873408769448374,0.013553329404832056,0.23115577889447236,0.0256053437239076,0.40986101297070754,0.0031557083129882812,0.11151981353759766,0
F-2,0.7644851043865822,0.6390029325513197,0.7371447902571042,0.684574300973924,0.7978228864762172,0.002950429916381836,0.11323142051696777,0
F-3,0.6146689221846302,0.03927492447129909,0.935251798561151,0.07538416932444186,0.8987925304342982,0.0033376216888427734,0.10788345336914062,0
F-4,0.6291390728476821,0.1000752445447705,0.7869822485207101,0.17757009345794392,0.8180356080524419,0.005303621292114258,0.0837407112121582,0
F-5,0.6389324960753532,0.1301504251144539,0.7991967871485943,0.22384701912260968,0.8446413698454609,0.006379127502441406,0.09526896476745605,0
F-7,0.5004037141703673,0.056508577194752774,0.15620641562064155,0.08299370137087811,0.3242165962403993,0.006465435028076172,0.13012123107910156,0
