Channel,Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters
A-1,0.6515222482435598,0.03278688524590164,0.5355191256830601,0.0617906683480454,0.6894230222234428,0.21807360649108887,0.387331485748291,32396
A-2,0.6232403378551318,0.0,0.0,0.0,0.16312706636593274,0.04793834686279297,0.1354222297668457,32396
A-3,0.618877236273905,0.005639760310186817,0.056338028169014086,0.01025312399871836,0.3278251853532652,0.04303097724914551,0.14488673210144043,32396
A-4,0.6238095238095238,0.0,0.0,0.0,0.2858770092953867,0.03961300849914551,0.1503312587738037,32396
A-5,0.6364032222947964,0.025577043044291953,0.2751677852348993,0.04680365296803653,0.6829123348576468,0.029207468032836914,0.026673555374145508,32396
A-6,0.8005972892258213,0.11832460732984293,0.8129496402877698,0.20658135283363802,0.9222094559757985,0.028813838958740234,0.02389049530029297,32396
A-7,0.3702965654671199,0.007367716008037508,0.00905349794238683,0.00812407680945347,0.042491145282126726,0.04497790336608887,0.1526474952697754,32396
A-8,0.6076132930513595,0.5963397790055248,0.45387647831800265,0.5154454559021041,0.7128651515285139,0.0282137393951416,0.0371701717376709,32396
A-9,0.6043916486681066,0.5971888926979774,0.4508281573498965,0.5137885267659638,0.7371364653243848,0.03139328956604004,0.034563541412353516,32396
B-1,0.9150302114803626,0.0,0.0,0.0,0.6009235335527693,0.03959083557128906,0.13088536262512207,32396
C-1,0.6959334565619224,0.370712401055409,0.6082251082251082,0.460655737704918,0.7060524669220322,0.04252314567565918,0.15293049812316895,57596
C-2,0.6781137878011276,0.2840409956076135,0.5825825825825826,0.38188976377952755,0.7830469530098703,0.02847146987915039,0.044196128845214844,57596
D-1,0.9508859555238435,0.9833503227998641,0.8882750153468385,0.9333978390582164,0.9719678716869629,0.04080367088317871,0.15625405311584473,32396
D-11,0.6445232574000819,0.0,0.0,0.0,0.37879401726490514,0.04015302658081055,0.1392660140991211,32396
D-12,0.8901253517523663,0.8435672514619883,0.8426433004746258,0.8431050228310503,0.9360445235451463,0.025394439697265625,0.01717352867126465,32396
D-13,0.6593944202036229,0.062334718549301095,0.637065637065637,0.11355815554026152,0.6371824609776419,0.03282308578491211,0.07785558700561523,32396
D-14,0.6665346534653466,0.26018099547511314,0.5502392344497608,0.3533026113671275,0.6825369070516824,0.044968605041503906,0.2834012508392334,57596
D-15,0.6661807580174927,0.4791666666666667,0.5251141552511416,0.5010893246187363,0.693258892050362,0.03995108604431152,0.14275240898132324,57596
D-16,0.6389287422285987,0.4959016393442623,0.48464619492656874,0.4902093180283592,0.5999365273917135,0.03242921829223633,0.09754276275634766,57596
D-2,0.5821071218363744,0.6219307097208208,0.43251461988304096,0.5102097130242825,0.6260531858873091,0.0541229248046875,0.14841508865356445,32396
D-3,0.9455503512880562,0.9866175978588156,0.8740367516301126,0.9269212635549269,0.9723560138895486,0.04459500312805176,0.15418720245361328,32396
D-4,0.962259644094112,1.0,0.9026793963658762,0.9488507607640013,0.9930475755945554,0.04004073143005371,0.15509986877441406,32396
D-5,0.638682252922423,0.012144212523719165,0.21476510067114093,0.022988505747126436,0.22352067494276795,0.03645610809326172,0.140425443649292,32396
D-6,0.6526207605344296,0.03669724770642202,0.5586592178770949,0.06887052341597796,0.6014420092632383,0.040155649185180664,0.1392669677734375,32396
D-7,0.5730575444179263,0.40166729821902236,0.3924472417623103,0.3970037453183521,0.5870050807075592,0.038751840591430664,0.13892221450805664,32396
D-8,0.9470028299459737,0.2159827213822894,0.6711409395973155,0.32679738562091504,0.7957918362856199,0.03681516647338867,0.1425638198852539,32396
D-9,0.9178757185874623,0.7119938884644768,0.8069264069264069,0.7564935064935064,0.8500755517175612,0.038140296936035156,0.13779759407043457,32396
E-1,0.5986216730038023,0.0461642905634759,0.19318181818181818,0.07452054794520548,0.3041579607341569,0.040737152099609375,0.1570878028869629,32396
E-10,0.6247471743010113,0.05200543847722638,0.2953667953667954,0.0884393063583815,0.47953330170903385,0.03995490074157715,0.15831255912780762,32396
E-11,0.6249108628476349,0.04753820033955857,0.285132382892057,0.08149010477299184,0.48450552453310164,0.04088449478149414,0.15719223022460938,32396
E-12,0.5899904897765097,0.04653532608695652,0.17586649550706032,0.0735965619124362,0.23857971274314438,0.04071784019470215,0.15710806846618652,32396
E-13,0.6223653395784543,0.053864168618266976,0.2885304659498208,0.09078094164082323,0.4260930058581629,0.038851261138916016,0.15932202339172363,32396
E-2,0.4877846299810247,0.021687563537783804,0.0427807486631016,0.028783449516527997,0.2131823848602039,0.04015350341796875,0.15795063972473145,32396
E-3,0.3660289996344584,0.15349808562478245,0.13729763387297633,0.14494658997534923,0.13103215294996118,0.04126119613647461,0.15735220909118652,32396
E-4,0.36491398110007267,0.09518864659051575,0.09472959007922839,0.0949585635359116,0.08325575595600168,0.039391517639160156,0.15872716903686523,32396
E-5,0.6296070295338052,0.043933054393305436,0.30071599045346065,0.0766656525707332,0.37564834355263255,0.03998064994812012,0.1611347198486328,32396
E-6,0.6592682926829269,0.04085195530726257,0.7134146341463414,0.0772787318361955,0.7173568788014909,0.04171299934387207,0.1563248634338379,32396
E-7,0.684652862362972,0.11551844119693806,0.8759894459102903,0.20411927451583153,0.8659434511846398,0.04201817512512207,0.14917898178100586,32396
E-8,0.6252371916508539,0.08675025415113521,0.3550624133148405,0.1394335511982571,0.5050448491995242,0.04006242752075195,0.1586153507232666,32396
E-9,0.6378931967812729,0.06095437129919889,0.3897550111358575,0.10542168674698796,0.49155424281483684,0.04330325126647949,0.155806303024292,32396
F-1,0.6285950023573786,0.0030303030303030303,0.04522613065326633,0.005680025244556642,0.40359674049183764,0.04300093650817871,0.15558791160583496,32396
F-2,0.7907576823832981,0.6963806970509383,0.70297699594046,0.6996632996632997,0.7908328434028224,0.039847612380981445,0.15784788131713867,32396
F-3,0.6636056065732238,0.04349326889886089,0.9064748201438849,0.08300395256916997,0.8981258891129692,0.043614864349365234,0.15523481369018555,32396
F-4,0.6736905478627333,0.10662080825451418,0.7337278106508875,0.18618618618618618,0.8103093325226092,0.03545570373535156,0.16955065727233887,57596
F-5,0.6815803244374673,0.1382660687593423,0.7429718875502008,0.23314429741650913,0.8409220424940738,0.041558265686035156,0.19356107711791992,57596
F-7,0.5504642712959225,0.06459054209919261,0.15620641562064155,0.09139126886984904,0.3250464378858097,0.03971552848815918,0.19255399703979492,57596
F-8,0.6992040217846669,0.3911483253588517,0.6100746268656716,0.47667638483965014,0.7235489892514737,0.0466618537902832,0.2532775402069092,57596
G-1,0.6238499223324172,0.0,0.0,0.0,0.1332632994369275,0.05558419227600098,0.13942360877990723,32396
G-2,0.6499104806500482,0.02715466351829988,0.49640287769784175,0.05149253731343283,0.6371144028332515,0.03882122039794922,0.13437557220458984,32396
G-3,0.6444216728576918,0.019392608854738383,0.35570469798657717,0.03678001387925052,0.6363100569479476,0.03797793388366699,0.14339518547058105,32396
G-4,0.6597185342538502,0.03831562974203338,0.7829457364341085,0.07305605786618445,0.8727480059937989,0.03749966621398926,0.14201760292053223,32396
G-6,0.6733021077283372,0.06657745065239211,1.0,0.12484316185696362,0.896502052282754,0.04372859001159668,0.15558195114135742,32396
G-7,0.6978181359566149,0.16871387283236994,0.8309608540925267,0.28048048048048047,0.8826340123093896,0.03676295280456543,0.13366937637329102,32396
M-1,0.4717501148369316,0.510498687664042,0.33361921097770153,0.40352697095435686,0.4849689436778626,0.03635454177856445,0.16179299354553223,57596
M-2,0.647220946256316,0.7611548556430446,0.4974271012006861,0.6016597510373444,0.8204976815916853,0.03659319877624512,0.1606454849243164,57596
M-3,0.6097681302417366,0.18873239436619718,0.3839541547277937,0.2530689329556185,0.5813186663069352,0.03556203842163086,0.14707541465759277,57596
