Channel,Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters
A-1,0.6337677725118483,0.08014354066985646,0.9469964664310954,0.14778053487730908,0.8977073605405576,13.09676218032837,0.4973747730255127,284441
A-2,0.5598911070780399,0.0,0.0,0.0,0.131328215650669,11.836790084838867,0.4416928291320801,284441
A-3,0.5810118675827608,0.03622735790131168,0.3020833333333333,0.06469604015616286,0.4537783482045226,12.407629489898682,0.47468137741088867,284441
A-4,0.6156091370558375,0.06852791878172589,0.6990291262135923,0.12481941635365501,0.6288464884102556,12.338335275650024,0.47227978706359863,284441
A-5,0.5909192076563543,0.05787423483583751,0.41767068273092367,0.10166177908113393,0.6646222022869991,2.515380620956421,0.26630067825317383,284441
A-6,0.6473077827415942,0.12933568489124045,0.9205020920502092,0.2268041237113402,0.9508290022577881,2.4373068809509277,0.24921154975891113,284441
A-7,0.7675246115526035,0.5696915776986952,0.7905349794238683,0.6621854532919683,0.6909636459766992,13.30519413948059,0.4966275691986084,284441
A-8,0.17541284403669724,0.05079559363525092,0.043626806833114325,0.04693906404637353,0.029253391147983657,2.8106470108032227,0.48281407356262207,284441
A-9,0.13067767792081614,0.0,0.0,0.0,0.0,2.8051321506500244,0.4769446849822998,284441
B-1,0.6300356960734319,0.08033152693656359,0.9368029739776952,0.1479741632413388,0.6550850847166501,11.043609857559204,0.4546034336090088,284441
C-1,0.6211240310077519,0.3668280871670702,0.5391459074733096,0.4365994236311239,0.6321198070425672,10.130398273468018,0.13501644134521484,288311
C-2,0.6396542409508373,0.40945945945945944,0.5684803001876173,0.4760408483896308,0.6271548226746421,2.952235221862793,0.11942338943481445,288311
D-1,0.954266458057528,0.9329121540312876,0.9518109269490485,0.9422667882102704,0.9847650344630867,13.234832763671875,0.49016571044921875,284441
D-11,0.5961831005393445,0.018806509945750453,0.20077220077220076,0.03439153439153439,0.492017712327523,11.97429895401001,0.42693209648132324,284441
D-12,0.9183726353977715,0.848595041322314,0.9372033588901059,0.8907009021512838,0.9474953255663564,0.5871155261993408,0.44278907775878906,284441
D-13,0.6124882754924293,0.07571189279731994,0.6295264623955432,0.13516746411483255,0.633445945945946,6.504184007644653,0.4333469867706299,284441
D-14,0.8206185567010309,0.5690721649484536,0.9701230228471002,0.7173489278752436,0.9517519771528997,18.051355838775635,0.1581881046295166,288311
D-15,0.4616956077630235,0.24648786717752236,0.2937595129375951,0.26805555555555555,0.5714957584436279,9.750391483306885,0.12356162071228027,288311
D-16,0.5775991963837268,0.5050251256281407,0.4734982332155477,0.4887537993920973,0.6786102533319306,6.5216991901397705,0.1287825107574463,288311
D-2,0.8906491959499703,1.0,0.7852631578947369,0.8797169811320755,0.953705019020042,13.363531827926636,0.4853229522705078,284441
D-3,0.9796208530805687,0.980154028436019,0.9692442882249561,0.9746686303387334,0.9936352641717083,13.310020446777344,0.4981694221496582,284441
D-4,0.9886377372174544,0.9764279238440616,0.995072374499538,0.9856619890176938,0.9987972000478937,13.097716569900513,0.4770386219024658,284441
D-5,0.5751211631663974,0.010770784247728038,0.1285140562248996,0.01987577639751553,0.13185714021988496,11.664908409118652,0.43712687492370605,284441
D-6,0.5636387298282145,0.0,0.0,0.0,0.29114494468766866,11.88997220993042,0.4488656520843506,284441
D-7,0.9242139209889815,0.8601280754971351,0.9448352462051092,0.9004940014114327,0.9870634287409548,11.88970136642456,0.4299814701080322,284441
D-8,0.9387542350794892,0.322061191626409,0.8032128514056225,0.45977011494252873,0.871579516720079,11.933699607849121,0.45121073722839355,284441
D-9,0.9167360532889259,0.7119938884644768,0.8069264069264069,0.7564935064935064,0.8973992349302216,11.84772539138794,0.41480183601379395,284441
E-1,0.5962000962000962,0.13086642599277978,0.4811946902654867,0.20577105014191108,0.6937929374274675,13.363587856292725,0.4835643768310547,284441
E-10,0.6587597832630945,0.1815171583383504,0.8398328690807799,0.2985148514851485,0.7047454724820679,13.366664171218872,0.48569560050964355,284441
E-11,0.6594900168390666,0.1782922429344558,0.8581765557163531,0.2952452078665671,0.7170418641277738,13.300699949264526,0.4892258644104004,284441
E-12,0.5798845043310876,0.12210526315789473,0.41470888661899896,0.18866171003717472,0.6055171697144188,13.281840085983276,0.4853358268737793,284441
E-13,0.6169431279620853,0.14691943127962084,0.5842167255594818,0.23479289940828402,0.5688749571551086,13.274542570114136,0.491487979888916,284441
E-2,0.507081132981277,0.12331233123312331,0.2575187969924812,0.1667681071211199,0.4148611024294704,13.289283037185669,0.48083043098449707,284441
E-3,0.3308252127790798,0.1588035769349368,0.1603362391033624,0.15956622773044152,0.1700652049197532,13.385413646697998,0.4761655330657959,284441
E-4,0.336644591611479,0.11587982832618025,0.13021012745435756,0.12262773722627737,0.11124787477122447,13.210649013519287,0.46955037117004395,284441
E-5,0.6312083024462565,0.11897404202719407,0.7418111753371869,0.20505992010652463,0.6852638674272051,13.289855003356934,0.4763631820678711,284441
E-6,0.6317283950617284,0.08001235712079086,0.9810606060606061,0.14795772636389604,0.9739735602580166,13.314098596572876,0.46648693084716797,284441
E-7,0.6388409371146733,0.12237977805178792,0.8288100208768268,0.21326886919151222,0.8828301437193471,12.810568809509277,0.47531557083129883,284441
E-8,0.6176188190110418,0.14521452145214522,0.5895249695493301,0.23302840635532018,0.710089351695467,13.384421825408936,0.5414750576019287,284441
E-9,0.6008392989385337,0.08577599506325208,0.5063752276867031,0.1467018469656992,0.5110524364918992,13.300771713256836,0.4719812870025635,284441
F-1,0.6119990458015268,0.05963029218843172,0.6688963210702341,0.10949904188338352,0.7473689871205398,13.656847953796387,0.49502038955688477,284441
F-2,0.7600284832660812,0.6385756676557863,0.7280108254397835,0.6803667404362946,0.7978860273654056,13.220514059066772,0.4901268482208252,284441
F-3,0.624633072407045,0.0672782874617737,0.9205020920502092,0.12539184952978055,0.8837471658347141,13.25242829322815,0.47884702682495117,284441
F-4,0.6405959031657356,0.1551590380139643,0.7434944237918215,0.25673940949935814,0.7240724258740088,10.622634410858154,0.209700345993042,288311
F-5,0.6560988715744224,0.18737407656145064,0.7994269340974212,0.30359085963003263,0.8824764670053866,12.497921705245972,0.23923826217651367,288311
F-7,0.6009476720230738,0.2631307929969104,0.5024582104228122,0.34538695505238254,0.6110795906647201,12.034124374389648,0.3244192600250244,288311
F-8,0.4363795365107127,0.08852459016393442,0.15111940298507462,0.11164713990351481,0.32305207258965024,16.381117343902588,0.14911651611328125,288311
G-1,0.5778207763937598,0.020556227327690448,0.21316614420062696,0.037496553625585884,0.33034206738826133,13.055945873260498,0.4976229667663574,284441
G-2,0.6256109481915934,0.0736731843575419,0.8828451882845189,0.13599742184982275,0.7032746237513283,11.275923252105713,0.4220700263977051,284441
G-3,0.6263137407551577,0.0733052221861823,0.9076305220883534,0.13565426170468187,0.8464221595418951,11.989014863967896,0.44530749320983887,284441
G-4,0.6266146393972013,0.07166890982503364,0.9301310043668122,0.1330834114339269,0.9534285508161022,11.670639753341675,0.4554908275604248,284441
G-6,0.6072274881516587,0.0533175355450237,0.6020066889632107,0.09795918367346938,0.7380146490019757,13.351760149002075,0.5160269737243652,284441
G-7,0.6837399412440924,0.24217252396166133,0.8793503480278422,0.37975951903807614,0.8874319504911621,11.306676626205444,0.46138906478881836,284441
M-1,0.2802118440057776,0.3020457280385078,0.21526586620926244,0.2513770655983976,0.3180114212982924,10.43281888961792,0.1334836483001709,288311
M-2,0.7963408762638421,0.9470517448856799,0.6749571183533448,0.7881822734101152,0.9071544097018902,10.416667222976685,0.13288331031799316,288311
M-3,0.5568240788790867,0.23735408560311283,0.40757238307349664,0.3,0.403967921497479,9.528234481811523,0.12347078323364258,288311
M-4,0.6387377584330794,0.35374149659863946,0.579064587973274,0.4391891891891892,0.6648323367983568,9.761409521102905,0.12039875984191895,288311
M-5,0.5872563005230623,0.2806183115338882,0.4729458917835671,0.3522388059701492,0.6182702062479073,9.476292133331299,0.13714241981506348,288311
M-6,0.7068685776095187,0.26756756756756755,1.0,0.42217484008528783,0.9999999999999999,7.2089152336120605,0.12136650085449219,288311
M-7,0.6988752556237219,0.3145780051150895,0.822742474916388,0.4551341350601295,0.8970143891426461,7.181830883026123,0.1274888515472412,288311
P-1,0.48741721854304637,0.061709813365442505,0.1524163568773234,0.0878508677951575,0.3350100948596334,13.332451343536377,0.49524927139282227,284441
P-10,0.6557627118644068,0.13940677966101694,1.0,0.24470063220528077,0.8092362805867772,21.37758493423462,0.38134312629699707,288311
P-11,0.7199400299850075,0.383808095952024,0.8205128205128205,0.5229826353421859,0.7930256835872844,19.524707317352295,0.21173739433288574,288311
P-14,0.65,0.14279661016949152,0.8891820580474934,0.24607520993063162,0.7725164507404925,13.895367860794067,0.38648557662963867,288311
P-15,0.53125,0.01694915254237288,0.0821917808219178,0.02810304449648712,0.5111138592063376,18.001195192337036,0.1711115837097168,288311
P-2,0.7283056561368461,0.38264669163545567,0.8609550561797753,0.5298184961106309,0.94661439004206,13.03324580192566,0.47028112411499023,284441
