Channel,Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters
A-1,0.9285714285714286,0.0,0.0,0.0,0.6834171281429593,9.538151979446411,0.6635076999664307,32396
A-2,0.9232147427693883,0.0,0.0,0.0,0.1810921422257455,7.1109089851379395,0.8146865367889404,32396
A-3,0.9148673658235656,0.0,0.0,0.0,0.32067780677158464,7.492016077041626,0.47115445137023926,32396
A-4,0.9238095238095239,0.0,0.0,0.0,0.2678933268642647,7.282229661941528,0.48190975189208984,32396
A-5,0.935554104071413,0.17903930131004367,0.2751677852348993,0.21693121693121692,0.6828723140770452,1.971855878829956,0.4021916389465332,32396
A-6,0.9699058120836205,0.518348623853211,0.8129496402877698,0.6330532212885154,0.9247856579473015,1.6692454814910889,0.290616512298584,32396
A-7,0.6651037393037159,0.0,0.0,0.0,0.07504294985035848,7.768205642700195,0.5788111686706543,32396
A-8,0.4901510574018127,0.0,0.0,0.0,0.722468434621818,1.8817119598388672,0.5183348655700684,32396
A-9,0.486321094312455,0.0,0.0,0.0,0.7371364653243847,2.09446120262146,0.44037413597106934,32396
B-1,0.9286253776435045,0.0,0.0,0.0,0.6009235335527693,6.421882390975952,0.4739243984222412,32396
C-1,0.7453789279112755,0.09174311926605505,0.021645021645021644,0.03502626970227671,0.7079130231304145,9.41717791557312,0.26619648933410645,57596
C-2,0.796514607893388,0.17346938775510204,0.05105105105105105,0.07888631090487239,0.7826330656985787,2.844224691390991,0.19048571586608887,57596
D-1,0.6626233797122131,1.0,0.12922038060159607,0.22886653982060343,0.9717470988784505,7.773547410964966,0.5665433406829834,32396
D-11,0.928249897694721,0.0,0.0,0.0,0.37521002360682876,6.499791860580444,0.5090410709381104,32396
D-12,0.6955743156817601,1.0,0.13106973347937204,0.2317624273724984,0.9204434124836348,0.6288299560546875,0.49870777130126953,32396
D-13,0.9657543302922121,0.0,0.0,0.0,0.6383956323715361,3.9623031616210938,0.4599626064300537,32396
D-14,0.8522772277227723,0.6771653543307087,0.20574162679425836,0.3155963302752294,0.6841389944205122,18.96210241317749,0.28727102279663086,57596
