Channel,Accuracy,Precision,Recall,F1,AUC,TrainingTime,InferenceTime,Parameters
A-1,0.9285714285714286,0.0,0.0,0.0,0.6829084089709815,1.002722978591919,2.7619457244873047,47993
A-2,0.9232147427693883,0.0,0.0,0.0,0.18018836763776036,0.7262122631072998,0.029711008071899414,47993
A-3,0.9148673658235656,0.0,0.0,0.0,0.3193298648816566,0.5223219394683838,0.030210256576538086,47993
A-4,0.9238095238095239,0.0,0.0,0.0,0.2832916394471163,0.5141310691833496,0.03017878532409668,47993
A-5,0.9353363814500326,0.1782608695652174,0.2751677852348993,0.21635883905013192,0.6836953829611149,0.15135908126831055,0.01669764518737793,47993
A-6,0.9680679990810935,0.5,0.7841726618705036,0.6106442577030813,0.9274531964366807,0.13600540161132812,0.0165097713470459,47993
A-7,0.6651037393037159,0.0,0.0,0.0,0.1334041575859857,0.5509140491485596,0.03194093704223633,47993
A-8,0.4901510574018127,0.0,0.0,0.0,0.7031574491352777,0.15025687217712402,0.03001260757446289,47993
A-9,0.486321094312455,0.0,0.0,0.0,0.7335587259901528,0.15103602409362793,0.029634714126586914,47993
B-1,0.9286253776435045,0.0,0.0,0.0,0.6141593257101544,0.463026762008667,0.02833414077758789,47993
C-1,0.7435304990757856,0.07339449541284404,0.017316017316017316,0.028021015761821366,0.7047807265198569,0.4394974708557129,0.010113000869750977,57623
C-2,0.7934392619169657,0.14285714285714285,0.042042042042042045,0.06496519721577726,0.7931862641380565,0.16319561004638672,0.00792241096496582,57623
D-1,0.6626233797122131,1.0,0.12922038060159607,0.22886653982060343,0.9718806947318066,0.5454657077789307,0.030707120895385742,47993
D-11,0.928249897694721,0.0,0.0,0.0,0.40285070873101897,0.5024497509002686,0.027579545974731445,47993
D-12,0.699667434126375,1.0,0.14275282949981746,0.2498402555910543,0.9337270685059951,0.11765336990356445,0.02787184715270996,47993
D-13,0.9169641676583367,0.013192612137203167,0.019305019305019305,0.01567398119122257,0.6374282669463394,0.2863190174102783,0.02720928192138672,47993
D-14,0.853069306930693,0.6850393700787402,0.20813397129186603,0.3192660550458716,0.6875078060600005,0.7370460033416748,0.011769771575927734,57623
D-15,0.6336248785228377,0.02912621359223301,0.0045662100456621,0.007894736842105263,0.693508767927236,0.41936230659484863,0.0100860595703125,57623
D-16,0.662362505978001,0.7047619047619048,0.09879839786381843,0.17330210772833723,0.6005991097916944,0.29276371002197266,0.009814739227294922,57623
D-2,0.47004120070629785,0.23294117647058823,0.023157894736842106,0.04212765957446808,0.6552468889443196,0.5488994121551514,0.03043675422668457,47993
D-3,0.6455503512880562,0.9063231850117096,0.11470065204505038,0.20363062352012629,0.9749542801973874,0.5578796863555908,0.03152942657470703,47993
D-4,0.6622477009435089,1.0,0.1290421927933477,0.22858701582105836,0.9941884588445098,0.5365493297576904,0.03056025505065918,47993
D-5,0.9386291179596175,0.08488063660477453,0.21476510067114093,0.12167300380228137,0.2235497798486727,0.492189884185791,0.0285336971282959,47993
D-6,0.9269013360739979,0.0,0.0,0.0,0.5933864445252498,0.49398112297058105,0.028197765350341797,47993
D-7,0.616945107398568,0.25132275132275134,0.03517215845982969,0.06170834686586554,0.5899280955181893,0.498241662979126,0.0282137393951416,47993
D-8,0.9318240288139954,0.010282776349614395,0.026845637583892617,0.01486988847583643,0.7039172626251513,0.4998209476470947,0.02873849868774414,47993
D-9,0.7931836846427593,0.01366120218579235,0.004329004329004329,0.006574621959237344,0.849345441314227,0.4917869567871094,0.026653766632080078,47993
E-1,0.8663260456273765,0.0,0.0,0.0,0.3115164383723123,0.5593068599700928,0.03046107292175293,47993
E-10,0.8882807852468768,0.0,0.0,0.0,0.48181651738137093,0.5540421009063721,0.032619476318359375,47993
E-11,0.8916092227240314,0.0,0.0,0.0,0.4863590315441933,0.5530440807342529,0.03045177459716797,47993
E-12,0.8573466476462197,0.0,0.0,0.0,0.2437105487674541,0.5506916046142578,0.03050088882446289,47993
E-13,0.8874707259953162,0.02810304449648712,0.021505376344086023,0.024365482233502538,0.42692765712099534,0.5537257194519043,0.03157186508178711,47993
E-2,0.7725332068311196,0.0,0.0,0.0,0.2289778702452985,0.5544655323028564,0.031024694442749023,47993
E-3,0.5814548556110637,0.22871046228710462,0.029265255292652552,0.05189069831631245,0.13294066170778499,0.5544421672821045,0.030353307723999023,47993
E-4,0.6224860673612794,0.24213075060532688,0.03444712366517396,0.06031363088057901,0.08321622963581775,0.5613737106323242,0.02964019775390625,47993
E-5,0.9198193800341713,0.2097560975609756,0.2052505966587112,0.2074788902291918,0.3876803597602621,0.5482120513916016,0.030637025833129883,47993
E-6,0.9570731707317073,0.2707317073170732,0.676829268292683,0.3867595818815331,0.7179976690259685,0.5543015003204346,0.031162500381469727,47993
E-7,0.9714981729598051,0.6763990267639902,0.7335092348284961,0.7037974683544304,0.8654825268223949,0.5293068885803223,0.030349254608154297,47993
E-8,0.864444971537002,0.0,0.0,0.0,0.5155184759564079,0.5559980869293213,0.031514883041381836,47993
E-9,0.9173372348207754,0.22141119221411193,0.2026726057906459,0.2116279069767442,0.49188028946047757,0.5501453876495361,0.031006574630737305,47993
F-1,0.9264497878359265,0.0,0.0,0.0,0.39245654949460645,0.5536296367645264,0.03340601921081543,47993
F-2,0.6100164203612479,0.06791569086651054,0.009810554803788904,0.017144546260715342,0.7955164677386832,0.5469787120819092,0.031798601150512695,47993
F-3,0.9573465442242629,0.24154589371980675,0.7194244604316546,0.3616636528028933,0.8994724338508793,0.5601744651794434,0.031046390533447266,47993
F-4,0.946417820590006,0.47305389221556887,0.46745562130177515,0.47023809523809523,0.8191803804773139,0.45914173126220703,0.014312028884887695,57623
F-5,0.9385138670852956,0.5364583333333334,0.41365461847389556,0.4671201814058957,0.8469534449019138,0.5319867134094238,0.016724824905395508,57623
F-7,0.8189341945902301,0.13709677419354838,0.04741980474198047,0.07046632124352331,0.32645627991964266,0.5128686428070068,0.020865201950073242,57623
F-8,0.7855048177628823,0.6,0.13432835820895522,0.21951219512195122,0.7227980841336269,0.6740055084228516,0.011046409606933594,57623
G-1,0.9237662803202294,0.0,0.0,0.0,0.13621368742471357,0.5451765060424805,0.030830860137939453,47993
G-2,0.9308635174218427,0.0,0.0,0.0,0.6380684837134505,0.47992968559265137,0.027698516845703125,47993
G-3,0.9308313052388881,0.0,0.0,0.0,0.6369590251717291,0.5057768821716309,0.028876543045043945,47993
G-4,0.9596388741370154,0.26790450928381965,0.7829457364341085,0.39920948616600793,0.873735453990473,0.49237847328186035,0.028407573699951172,47993
G-6,0.9266978922716628,0.0,0.0,0.0,0.9050642253348027,0.5552709102630615,0.031157255172729492,47993
G-7,0.9791903140370791,1.0,0.7064056939501779,0.8279457768508863,0.8846727761147021,0.4773850440979004,0.029569625854492188,47993
M-1,0.45016077170418006,0.3577981651376147,0.03344768439108062,0.0611764705882353,0.47414207016133003,0.45379042625427246,0.009947061538696289,57623
M-2,0.5126320624712908,0.981651376146789,0.09176672384219554,0.16784313725490196,0.8325215086874569,0.4535553455352783,0.009662866592407227,57623
M-3,0.8219042920572275,0.4411764705882353,0.12893982808022922,0.19955654101995565,0.6009866432613529,0.4236593246459961,0.009097099304199219,57623
M-4,0.7760577915376677,0.061855670103092786,0.017191977077363897,0.026905829596412557,0.47014485331640704,0.4368321895599365,0.010199308395385742,57623
M-5,0.7684975034044484,0.0,0.0,0.0,0.6976087669284075,0.41650962829589844,0.010270118713378906,57623
M-6,0.9486916367367881,1.0,0.494949494949495,0.6621621621621622,0.9883558601434101,0.3245368003845215,0.00970458984375,57623
M-7,0.953307392996109,1.0,0.5175879396984925,0.6821192052980133,0.8658261690791059,0.32450151443481445,0.009646892547607422,57623
