Channel,Accuracy,Precision,Recall,F1,AUC
A-1,0.9285714285714286,0.0,0.0,0.0,0.6831673457217569
A-2,0.9232147427693883,0.0,0.0,0.0,0.17840441160279216
A-3,0.9148673658235656,0.0,0.0,0.0,0.31939649661168645
A-4,0.9238095238095239,0.0,0.0,0.0,0.28444486586431333
A-5,0.9353363814500326,0.1782608695652174,0.2751677852348993,0.21635883905013192,0.6826941083370082
A-6,0.9699058120836205,0.518348623853211,0.8129496402877698,0.6330532212885154,0.9246985894910081
A-7,0.6651037393037159,0.0,0.0,0.0,0.06775897899757377
A-8,0.4901510574018127,0.0,0.0,0.0,0.7237652094412451
A-9,0.486321094312455,0.0,0.0,0.0,0.7371364653243848
B-1,0.9286253776435045,0.0,0.0,0.0,0.6009235335527693
C-1,0.7453789279112755,0.09174311926605505,0.021645021645021644,0.03502626970227671,0.7041092475875085
C-2,0.7985648385443362,0.19387755102040816,0.057057057057057055,0.08816705336426914,0.7832882326083809
D-1,0.6626233797122131,1.0,0.12922038060159607,0.22886653982060343,0.9718155056757978
D-11,0.928249897694721,0.0,0.0,0.0,0.3667073560000982
D-12,0.6955743156817601,1.0,0.13106973347937204,0.2317624273724984,0.9373255609921114
D-13,0.9657543302922121,0.0,0.0,0.0,0.6344907534666572
D-14,0.8522772277227723,0.6771653543307087,0.20574162679425836,0.3155963302752294,0.6833646332684626
D-15,0.6336248785228377,0.02912621359223301,0.0045662100456621,0.007894736842105263,0.6920627470919336
D-16,0.6642754662840746,0.7238095238095238,0.10146862483311081,0.17798594847775176,0.6001424651646806
D-2,0.47004120070629785,0.23294117647058823,0.023157894736842106,0.04212765957446808,0.6245181951719742
D-3,0.6455503512880562,0.9063231850117096,0.11470065204505038,0.20363062352012629,0.9735785553299686
D-4,0.6622477009435089,1.0,0.1290421927933477,0.22858701582105836,0.9932323855833309
D-5,0.9386291179596175,0.08488063660477453,0.21476510067114093,0.12167300380228137,0.22352022017861314
D-6,0.9269013360739979,0.0,0.0,0.0,0.6018864390157901
D-7,0.616945107398568,0.25132275132275134,0.03517215845982969,0.06170834686586554,0.581469325055078
D-8,0.9354257782351428,0.02680965147453083,0.06711409395973154,0.038314176245210725,0.7957918362856199
D-9,0.7924993156309882,0.0,0.0,0.0,0.8500687953459861
E-1,0.8671577946768061,0.0,0.0,0.0,0.3070027377640513
E-10,0.8882807852468768,0.0,0.0,0.0,0.47784499981152695
E-11,0.8916092227240314,0.0,0.0,0.0,0.4843438358970879
E-12,0.8573466476462197,0.0,0.0,0.0,0.23829313868721166
E-13,0.8874707259953162,0.02810304449648712,0.021505376344086023,0.024365482233502538,0.42650174361848214
E-2,0.7725332068311196,0.0,0.0,0.0,0.2330146827526229
E-3,0.580967466796637,0.22384428223844283,0.028642590286425903,0.05078664090532708,0.13250772565841057
E-4,0.6224860673612794,0.24213075060532688,0.03444712366517396,0.06031363088057901,0.08320058648304138
E-5,0.9198193800341713,0.2097560975609756,0.2052505966587112,0.2074788902291918,0.37646762694825375
E-6,0.9570731707317073,0.2707317073170732,0.676829268292683,0.3867595818815331,0.7172491319549831
E-7,0.9712545676004872,0.6739659367396593,0.7308707124010554,0.7012658227848101,0.8657763324100246
E-8,0.864444971537002,0.0,0.0,0.0,0.5117238895890752
E-9,0.917093391855645,0.21897810218978103,0.20044543429844097,0.20930232558139536,0.4914990877875566
F-1,0.9264497878359265,0.0,0.0,0.0,0.40986101297070754
F-2,0.6100164203612479,0.06791569086651054,0.009810554803788904,0.017144546260715342,0.7978228864762172
F-3,0.9573465442242629,0.24154589371980675,0.7194244604316546,0.3616636528028933,0.8987925304342982
F-4,0.9446116797110174,0.4550898203592814,0.44970414201183434,0.4523809523809524,0.8180356080524419
F-5,0.9385138670852956,0.5364583333333334,0.41365461847389556,0.4671201814058957,0.8446413698454609
F-7,0.8161081953976584,0.10887096774193548,0.03765690376569038,0.05595854922279793,0.3242165962403993
F-8,0.7846669459572685,0.5916666666666667,0.13246268656716417,0.21646341463414634,0.7238816049412581
G-1,0.9237662803202294,0.0,0.0,0.0,0.13670000280135586
G-2,0.9308635174218427,0.0,0.0,0.0,0.6369063131971255
G-3,0.9308313052388881,0.0,0.0,0.0,0.6363700897951171
G-4,0.9596388741370154,0.26790450928381965,0.7829457364341085,0.39920948616600793,0.8733045580725182
G-6,0.9266978922716628,0.0,0.0,0.0,0.9393231593767906
G-7,0.9789380754193467,1.0,0.702846975088968,0.8254963427377221,0.8833819132835812
M-1,0.45016077170418006,0.3577981651376147,0.03344768439108062,0.0611764705882353,0.47810618360979484
M-2,0.5144694533762058,1.0,0.09348198970840481,0.17098039215686275,0.833521656291938
M-3,0.8238776517020227,0.46078431372549017,0.1346704871060172,0.20842572062084258,0.6057986209534478
M-4,0.7801857585139319,0.10309278350515463,0.02865329512893983,0.04484304932735426,0.4702007533887165
M-5,0.7684975034044484,0.0,0.0,0.0,0.6985715397140302
M-6,0.9486916367367881,1.0,0.494949494949495,0.6621621621621622,0.9869194515111135
M-7,0.953307392996109,1.0,0.5175879396984925,0.6821192052980133,0.8635882698359867
P-1,0.8367638310529447,0.11163895486935867,0.044976076555023926,0.06412005457025921,0.37018514666111924
P-10,0.9258333333333333,0.14,0.18340611353711792,0.15879017013232513,0.8206648360005115
P-11,0.8393013100436681,0.12790697674418605,0.05188679245283019,0.0738255033557047,0.6899011799502452
P-14,0.9248333333333333,0.21333333333333335,0.22939068100358423,0.22107081174438686,0.7654951668348831
P-15,0.9067489114658926,0.0,0.0,0.0,0.5083475938725888
P-2,0.8867924528301887,1.0,0.3066465256797583,0.46936416184971097,0.9254288494034513
P-3,0.7791016323126415,0.0,0.0,0.0,0.31075849120661503
P-4,0.853963295587661,0.0,0.0,0.0,0.705449990057044
P-7,0.7305231464057207,0.0,0.0,0.0,0.8178377725693095
R-1,0.9248320268756999,0.0,0.0,0.0,0.7317753973378465
S-1,0.8752593002350989,0.008287292817679558,0.005494505494505495,0.006607929515418502,0.32147528362935995
S-2,0.8865083960625362,0.0,0.0,0.0,0.5861523457434141
T-1,0.7464755639097744,0.0,0.0,0.0,0.8233642965657721
T-12,0.9047210300429185,0.48717948717948717,0.2602739726027397,0.3392857142857143,0.8085674300089334
T-13,0.8579399141630901,1.0,0.2611607142857143,0.41415929203539825,0.7043051180355245
T-2,0.74158357771261,0.00936768149882904,0.002242152466367713,0.003618272274988693,0.8442008377887009
T-3,0.9523528718009199,0.4716981132075472,0.5263157894736842,0.4975124378109453,0.6858955946478122
T-4,0.8710439300897497,0.0,0.0,0.0,0.48202057423614314
T-5,0.8914069877242682,0.0,0.0,0.0,0.4076645258355712
T-8,0.7892882311486963,0.49295774647887325,0.1174496644295302,0.1897018970189702,0.7222697854863528
T-9,0.7600401606425703,1.0,0.17301038062283736,0.2949852507374631,0.9613846703503766
