Channel,Accuracy,Precision,Recall,F1,AUC
A-1,0.9285714285714286,0.0,0.0,0.0,0.6904326139991931
A-2,0.9232147427693883,0.0,0.0,0.0,0.1766371280541321
A-3,0.9148673658235656,0.0,0.0,0.0,0.31074382621004126
A-4,0.9238095238095239,0.0,0.0,0.0,0.2830915334217084
A-5,0.935554104071413,0.17903930131004367,0.2751677852348993,0.21693121693121692,0.6828111502425409
A-6,0.9712841718355157,0.5321100917431193,0.8345323741007195,0.6498599439775911,0.9313601800097654
A-7,0.6651037393037159,0.0,0.0,0.0,0.0235392835148795
A-8,0.4901510574018127,0.0,0.0,0.0,0.7192619801450464
A-9,0.486321094312455,0.0,0.0,0.0,0.7371364653243848
B-1,0.9286253776435045,0.0,0.0,0.0,0.6009235335527693
C-1,0.7453789279112755,0.09174311926605505,0.021645021645021644,0.03502626970227671,0.7100915144393405
C-2,0.7985648385443362,0.19387755102040816,0.057057057057057055,0.08816705336426914,0.7823082662390449
D-1,0.6626233797122131,1.0,0.12922038060159607,0.22886653982060343,0.9720763214876358
D-11,0.928249897694721,0.0,0.0,0.0,0.3785072626952475
D-12,0.6955743156817601,1.0,0.13106973347937204,0.2317624273724984,0.9208744264857672
D-13,0.9657543302922121,0.0,0.0,0.0,0.6260366139884213
D-14,0.8522772277227723,0.6771653543307087,0.20574162679425836,0.3155963302752294,0.6831182456291741
D-15,0.6336248785228377,0.02912621359223301,0.0045662100456621,0.007894736842105263,0.6917933157116519
D-16,0.6642754662840746,0.7238095238095238,0.10146862483311081,0.17798594847775176,0.6010517749448345
D-2,0.47004120070629785,0.23294117647058823,0.023157894736842106,0.04212765957446808,0.6183924780355312
D-3,0.6455503512880562,0.9063231850117096,0.11470065204505038,0.20363062352012629,0.9728825747483488
D-4,0.6622477009435089,1.0,0.1290421927933477,0.22858701582105836,0.9931740466694489
D-5,0.9386291179596175,0.08488063660477453,0.21476510067114093,0.12167300380228137,0.22352294876354173
D-6,0.9269013360739979,0.0,0.0,0.0,0.6008800443695158
D-7,0.6172102890479979,0.25396825396825395,0.03554239170677527,0.06235790841182202,0.5821823357060332
D-8,0.9374839207615128,0.06683804627249357,0.174496644295302,0.09665427509293681,0.7957918362856199
D-9,0.7924993156309882,0.0,0.0,0.0,0.8500687953459861
E-1,0.8663260456273765,0.0,0.0,0.0,0.3140634761941249
E-10,0.8882807852468768,0.0,0.0,0.0,0.4832819560853034
E-11,0.8916092227240314,0.0,0.0,0.0,0.48596085078555235
E-12,0.8573466476462197,0.0,0.0,0.0,0.23792945535625243
E-13,0.8874707259953162,0.02810304449648712,0.021505376344086023,0.024365482233502538,0.4253852081161107
E-2,0.7725332068311196,0.0,0.0,0.0,0.22763923711982434
E-3,0.580967466796637,0.22384428223844283,0.028642590286425903,0.05078664090532708,0.13256519283916546
E-4,0.6224860673612794,0.24213075060532688,0.03444712366517396,0.06031363088057901,0.08320123023418444
E-5,0.9198193800341713,0.2097560975609756,0.2052505966587112,0.2074788902291918,0.37538358824025975
E-6,0.9570731707317073,0.2707317073170732,0.676829268292683,0.3867595818815331,0.7174046819798711
E-7,0.9712545676004872,0.6739659367396593,0.7308707124010554,0.7012658227848101,0.8664400904462981
E-8,0.864444971537002,0.0,0.0,0.0,0.5038663537202379
E-9,0.917093391855645,0.21897810218978103,0.20044543429844097,0.20930232558139536,0.4919064306452823
F-1,0.9264497878359265,0.0,0.0,0.0,0.4195024610075119
